Job Title,Company Name,Location,Posted Time Ago,Description,Seniority Level,Employment Type,Job Function,Industries,Industries Sorted
"Managing Director, HHS Professional, Continuing, & Online Education Administration",Purdue University,"West Lafayette, IN",2 weeks ago,"Job Summary

Posted 7/9/2020*: At this time, this position is actively recruiting and accepting applications.""

This 12-month staff position in the College of Health and Human Sciences (HHS) will represent HHS professional, continuing, and online (PCO) administration as the HHS administrative lead within Purdue Online. This position will work closely and strategize with administrative and academic leaders across colleges as well the functional leaders of Teaching and Learning Technology, Program Management, Student Services, and Online Corporate Partnerships bringing PCO knowledge and expertise to HHS. The successful candidate will have excellent organizational and communication skills and effectively manage multiple priorities and projects. This individual will manage large, complex programs in the PCO domain for the College of HHS. They will work closely with the college administration and Purdue Online administration to develop program policies, processes and procedures. This individual will also establish and oversee strategic program assessment and financial planning for online program sustainability.",Executive,Full-time,Business Development,Nonprofit Organization ManagementHigher EducationEducation Management,Nonprofit Organization Management
"Director, Decision Science and Analytics",EXPRESS,"Columbus, OH",3 weeks ago,"The Brand That Gets You To What’s Next

Express is the vibrant, confident lifestyle brand for ambitious people, providing the latest fashion for style-obsessed men and women since 1980. Our mission is to provide inspiration and confidence through fashion to help people get to what's next in their day, and their lives. With more than 600 retail and outlet stores throughout the United States, Puerto Rico and Latin America, and a best-in-class online/mobile shopping experience at www.express.com, Express brings city-inspired style to customers across the globe.



We think you'll like it here.

We offer a competitive compensation and benefits package, generous associate discount, and casual work environment. Working at Express is much more than the 9 to 5. It is an opportunity to connect and engage with some of the smartest individuals in the fashion business doing work they are passionate about . This is the Express Life and we’re always looking for talented leaders at all levels to join our team; if this sounds like you, we'd love to chat!



The Director of Decision Science and Analytics at Express will lead the Express Decision Science team, responsible for leveraging data and advanced analytical capabilities to drive business results by deeply understanding data, business operations and connecting the dots between business challenges and how advanced analytics and machine learning methodologies can add value.This position will collaborate cross-functionally across the organization with business leaders in Merchandising, Planning and Allocation, Omni Channel operations and Marketing, and working closely with other data and information technology leaders to create an analytics infrastructure and machine learning practice where automated insights and predictive models are an integral part of all business actions.

The primary function of the Decision Science team is to drive business decisions by leveraging advanced analytics and machine-learning powered predictive and prescriptive models.These opportunities are function and department agnostic and are focused on improving overall business performance. Additionally, this position will use analytics and advanced analytics to drive enterprise-wide data-driven decision making by synthesizing, analyzing data and presenting actionable insights to senior leadership.









As an equal opportunity employer, Express does not discriminate in hiring or terms and conditions of employment on the basis of any federal, state, or locally protected class. Express only hires individuals authorized for employment in the United States.

: Please note that Express does not accept unsolicited resumes or calls from third-party recruiters or employment agencies. In the absence of a signed Master Service Agreement and approval from HR to submit resumes for a specific requisition, Express will not consider or approve payment to any third-parties for hires made.",Director,Full-time,Project Management,RetailApparel & FashionConsumer Goods,Apparel & Fashion
"Main Street Director of Operations, Vendor Management",Federal Reserve Bank of Boston,"Boston, MA",4 days ago,"Job Description

Main Street Lending Program - Director Operations, Vendor Management

The Bank & Main Street Lending Program
As part of the Central bank of the United States, the Boston Fed works to promote sound growth and financial stability in New England and the nation. We contribute to communities, the region, and the nation by conducting economic research, participating in monetary policy-making, supervising certain financial institutions, providing financial services and payments, playing a leadership role in the payments industry, and supporting economic well-being in communities through a variety of efforts.

The Main Street Lending Program is designed to provide support to small and medium-sized businesses and their employees across the United States during the current period of financial strain by supporting the provision of credit to such businesses. The availability of additional credit is intended to help companies that were in sound financial condition prior to the onset of the COVID-19 pandemic maintain their operations and payroll until conditions normalize. Small and medium-sized businesses are integral to the U.S. economy and create jobs for a large share of the U.S. workforce



Reporting to the Assistant Vice President of the Main Street Lending Program Operations and Data Management team, this position is responsible for defining and supporting Main Street’s vendor oversight program in accordance with the Federal Reserve System’s guidelines for Critically Import Vendors. The role involves driving vendor management activities across the program and related project management needs. Additional areas of focus include supporting (FRBB) lending facilities, working cross-functionally with risk and controls, Reserve Bank information technology, and accounting and finance and discount window operations. This position shall lead and direct others on specific projects that further the Bank’s and/or Department’s strategic objectives. This position relies on extensive experience and judgement to plan and accomplish goals, and requires flexibility and versatility and operates with substantial latitude for action and decision.




Perform other duties as assigned.





What You Bring
Knowledge and experience normally acquired through, or equivalent to, the completion of a Master’s Degree or a minimum of 7 years of commensurate financial industry, vendor management and project management responsibilities, preferably in a regulatory environment.

Candidates must possess a strong background in vendor management, project management skills and execution skills and a working knowledge of financial management process.



The Federal Reserve Bank of Boston is committed to a diverse and inclusive workplace and to provide equal employment opportunities to all persons without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, age, genetic information, disability, or military service.

All employees assigned to this position will be subject to FBI fingerprint/ criminal background and Patriot Act/ Office of Foreign Assets Control (OFAC) watch list checks at least once every five years.

The above statements are intended to describe the general nature and level of work required of this position. They are not intended to be an exhaustive list of all duties, responsibilities or skills associated with this position or the personnel so classified. While this job description is intended to be an accurate reflection of this position, management reserves the right to revise this or any job description at its discretion at any time.



Federal Reserve Bank of Boston



MA-Boston



Full-time



Regular



Exempt



Experienced



Yes, 5 % of the Time



Day Job



Tier II CC@Hire/No CC@Rescreen",Director,Full-time,Management,Information Technology and ServicesBankingFinancial Services,Information Technology
Vice President Of Product,"Management Data, Inc.","Pelham, AL",2 weeks ago,"Management Data, Inc. (“MDI” or the “Company”) is a Pelham, Alabama-based insurance software company serving the life and health insurance and annuity industry through its proprietary policy administration platform, FIMMAS. MDI is helping insurance companies become more efficient and agile by embracing technology solutions. We are experts in the insurance industry and specialize in assisting our clients maximize the development of their products through our software platform. MDI provides a proven policy administration system that services policies throughout the entire policy lifecycle. Join us in changing the insurance industry so all companies can be more agile and better serve their customers.",Executive,Full-time,Product Management,Computer SoftwareInsuranceInformation Technology and Services,Computer Software
Global Head of Threat Intelligence,Insurance Careers,"Schaumburg, IL",1 month ago,"Description

Zurich Services LLC (a division of Zurich North America) is currently hiring a Global Head of Threat Intelligence and this person will work in our Schaumburg North America HQ. This person will report to the Global Head of Cyber Security.

The Global Head of Threat Intelligence will work closely with Cybersecurity leadership to define the strategic vision for the program and continuously develop and mature an intelligence-driven computer network defense program.

The Global Head of Threat Intelligence will lead the day-to-day Cyber Threat Intelligence (CTI) operations, to include collections management, analysis standards, quality control, and dissemination of finished products to a wide range of technical and non-technical internal customers such as security operations teams, information technology teams, enterprise risk management teams, and executive decision makers.
He/She will have additional experience with collecting, analyzing, and interpreting qualitative and quantitative data from multiple sources. He/She will possess intimate knowledge of the Cyber Kill Chain, Diamond Model of Intrusion Analysis, or other relevant network defense and intelligence frameworks.

This person will directly manage a team responsible for the following task -






Imagine working for a company that truly cares about their employees, customers, stakeholders, and communities they serve.

Imagine working for a values-driven organization that has the ambition and desire to be the best global insurance provider in the world. Zurich is that place where 55,000 employees across approximately 200 countries and territories are all focused on helping people and helping companies protect what is truly most important to them. We are a values-driven organization that takes pride in the work that we do every day and we have the ambition to be the best global insurer in the world.

EOE disability/vets

Zurich does not accept unsolicited resumes from search firms or employment agencies. Any unsolicited resume will become the property of Zurich American Insurance. If you are a preferred vendor, please use our Recruiting Agency Portal for resume submission.",Director,Full-time,Other,Information Technology and ServicesComputer SoftwareInsurance,Information Technology
Director Of Ecommerce,HireCaliber.com,"Anaheim, CA",1 week ago,"Hire Caliber is seeking a Director of eCommerce for our National Retail Client. The Company is growing and seeking an experienced and dynamic individual to join their leadership team.

This position requires the individual to be Bilingual Chinese Mandarin (verbal a must, written a plus)",Director,Full-time,Sales,Consumer GoodsRetailFood & Beverages,Consumer Services
VP of Product,Catapult,"Wilmington, NC",1 week ago,"WE EXIST TO IMPROVE THE PERFORMANCE OF ATHLETES AND TEAMS

Our mission is to improve the performance of athletes and teams, which we do by engineering the premier technology platform for sport. We've been at the forefront of sports technology and science since 2006 - we don't just work in the sporting industry, we are actively changing its future. Our solutions are designed to help athletes and coaches ""play smart"" in a world where 1% can literally mean the difference between winning and losing.

We work with over 3,000 teams around the world, empowering coaches, managers and trainers in premier teams in the NFL, NBA, NHL, MLS, EPL, AFL, NRL, NCAA and more. We provide the information they need to optimise athletes' health, game-day readiness, and performance, as well as in-game tactics. Our solutions include wearable technology, video analytics, and athlete monitoring solutions, and we are passionate about helping sports organizations at all levels to better scout, recruit, teach, and win.



The VP of Product will own all areas of product development including aligning our existing product suite to a new SaaS platform model and delivering a roadmap to open up new market segments and customer opportunities to aggressively drive customer growth.

We are looking for a dynamic and creative whose drive and delivery ability aligns with our ambitious, fast-growing and transforming company. Based in Boston, you will be responsible for understanding customer needs, identifying industry trends, and creating a product strategy and roadmap that helps deliver Catapults growth plans. You will lead a team of product experts across a domain and own the roadmap, delivery and go to market for that domain. You will work closely with Engineering to define and manage an execution plan to deliver product features in a way that maximizes customer, platform and commercial value. You will work with Sales, Marketing, Services and Operations teams to collect customer feedback, ensure the product roadmap is well understood and manage go to market activities. You will be responsible for managing pricing and working with Finance to provide inputs and updates to the growth model based on measurable market data.

We believe that our customers deserve the best experiences and we are on a mission to maximize and enhance their performance through delivering a market leading platform.










Whether you're interested in sports or not, you'll have the satisfaction of knowing your work is supporting some of the most successful teams and individual athletes on the planet! While we have access to many exciting opportunities, we also realize that we are here to do a very important job for our customers. As a result, we aim to work with purpose and intention. We look for people that fit into our team culture, those who actively contribute and individuals who are excited about what they do.

In order to build the future of sports performance, we need the brightest talent in order to do so. If you think you can contribute to the empowering, enjoyable and exciting Catapult environment, then we invite you to apply.",Executive,Full-time,Product Management,Sports,Sports
"Vice President- Corporate Credit Management, Technology (San Fran Location)",BNP Paribas,"San Francisco, CA",2 months ago,"Business Overview

Corporate Credit Management (“CCM”) is a transversal Team in support of the approximately 800 Corporate Clients of the North American platform. The CCM Team works to ensure coverage, monitoring & execution of all counterparty risk requests for the Corporate platform. Three functional pillars exist in the Team including:



Responsible for the credit management of assigned corporate client relationships. Specifically:

Competencies







N/A



BNPPRSR



US-CA-San Francisco



Standard / Permanent



MISCELLANEOUS



Bachelor Degree or equivalent (>= 3 years)



At least 5 years



Full-time",Executive,Full-time,Finance,Staffing and RecruitingHuman ResourcesFinancial Services,Staffing and Recruiting
"Director, Strategic Partnerships",The New School,"New York, NY",4 months ago,"Since our founding in 1919, The New School (TNS) has redrawn and redefined the boundaries of intellectual and creative thought as a preeminent academic center. Our rigorous, multidimensional approach to education dissolves walls between disciplines and helps nurture progressive minds. At our university, students have the academic freedom to shape their unique, individual paths for a complex and rapidly changing world. Our colleges include Parsons School of Design, Eugene Lang College of Liberal Arts, the College of Performing Arts, The New School for Social Research, the Schools of Public Engagement, and Parsons Paris. The New School is committed to diversity in the workplace.
Working at The New School comes with several unique benefits including a generous time off policy and a tuition benefit for employees and their dependents.
The Strategic Partnership Leader is a new leadership position in the Information Technology organization. You will focus on lead generation, prospect management, deal development, and contract closure. To be successful in this role, you should be energetic, well-spoken, and eager to create meaningful, revenue-generating partnerships.
Major Responsibilities",Director,Full-time,Sales,Marketing and AdvertisingNonprofit Organization ManagementHigher Education,Marketing and Advertising
Chief Information Security Officer,Cybernetic Search,"Chicago, IL",4 days ago,"On Behalf of one of the fastest growing Healthcare tech companies in the world, Cybernetic Search have been tasked to find an experienced Chief Information Security Officer to lead the growth & posture of their expanding Cybersecurity program.

This role can be worked 100% remotely.

To succeed in this role, you will have:


Responsibilities:",Executive,Full-time,Information Technology,Medical PracticeHospital & Health CareInformation Technology and Services,Health
Director of Business Intelligence,Excelsior College,"Columbia, SC",1 month ago,"Closing Date: May 5, 2020

The Director of Business Intelligence is a member of the Business Intelligence Team within Technology and Facility Service (TFS) and also maintains a dotted line relationship within Analytics and Decision Support (ADS). The position works in collaboration with data analysts, business users and IT staff, and is a member of the team responsible for implementing and delivering business intelligence solutions to Excelsior College.

The Director of Business Intelligence is responsible for the design, development and management of data warehouse and business intelligence technical environment used for reporting and analytics. This position will lead efforts on designing and implementing data models, and processes to extract, transform and load (ETL) data into the data warehouse and business intelligence applications.

The College’s current BI core technical environment incorporates a data warehouse, QlikView, Qliksense, and Nprinting. Data Cookbook is employed as a tool for communicating data definitions and promoting data quality and consistency for BI deliverables. Examples of BI/analytics data sources are a custom-built student information system; a learning management system; Salesforce as CRM; a financial aid management system; and various web and social media activity tracking systems.",Director,Full-time,Business Development,Nonprofit Organization ManagementHigher EducationFinancial Services,Nonprofit Organization Management
Information Security Director,"Request Technology, LLC","McLean, VA",1 week ago,"***We are unable to sponsor as this is a permanent full time role***
A fortune 500 company is on the search for an Information Security Director. This role will include designing, building, and managing a scalable threat modeling framework, leveraging automation to integrate Application Security into the Continuous Integration/Continuous Deployment (CI/CD) pipeline, and act as the product owner of application security automation platform. This role will focus on CICD application security, automation platform, static code analysis, threat modeling. They are looking for someone with at least 5+ years of application security experience.",Executive,Full-time,Information Technology,Information Technology and Services,Information Technology
Director,CVP (Customer Value Partners),"Washington, DC",3 months ago,"Customer Value Partners (CVP) is an information technology (IT) and business strategy consultancy that helps private and public sector clients “Be Better.” Founded in 2003, our 200+ team of professionals support clients in the healthcare, national security and public sectors in achieving their mission goals by delivering improved business efficiency, workforce optimization and innovative technology solutions. Our seasoned professionals provide experience-based solutions across our four core competencies: Agile Systems Integration, Cybersecurity, Performance Transformation and Analytics, and Training and Strategic Communication. Based in Fairfax, Virginia, CVP has developed a nationwide operational reach. CVP has been independently appraised at Maturity Level 3 of the CMMI Institute’s Capability Maturity Model Integration and is ISO/IEC 27001:2013 certified.

The Director will provide leadership for business growth, customer satisfaction, delivery excellence, and account and financial management for Customer Value Partner’s (CVP) National Security market portfolio. We are looking for a seasoned, entrepreneurial leader, who is single-minded in her or his determination to design and offer compelling solutions that exceed our customers’ requirements based on a systematic approach to business management and growth.

As a lead for the National Security market, you will develop and execute a multi-year strategic plan to grow CVP’s National Security business and perform a “hands-on” role in identifying, qualifying, and capturing new contracts to drive growth across the portfolio with a primary focus on Department of Homeland Security (DHS), Department of State (DoS), and Department of Justice (DoJ). You will also provide oversight and management of client relations and program delivery within your market area, working in conjunction with CVP’s Vice President for Service Delivery.

The successful candidate for the Director position will have a verifiable track record of successful business growth and program delivery for large, complex IT and professional services programs. The professional in this role will have deep domain expertise and insight regarding National Security mission areas and issues. She or he will have strong, leverage-able relationships with client decision makers /influencers and with key leaders with other companies doing business in the National Security market.

The Director will use insights and understanding to help CVP refine its solutions that help our government clients do more with less, through innovative technology and business solutions. As a well-regarded leader, your credibility with prospective CVP clients helps CVP market its services more effectively. You will lead CVP’s projects as an Program Director, acting as a trusted advisor to our clients.

Location is the Washington, DC metropolitan area.





CVP Vision



CVP aims to be a nationally recognized, trusted advisor for our clients in addressing our nation’s most critical needs.

To be considered immediately for this opportunity, please submit your resume at http://www.cvpcorp.com/careers.

Customer Value Partners, Inc. is a VEVRAA Federal Contractor and an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, or disability. Customer Value Partners seeks to provide employment opportunities for protected veterans and individuals with disabilities.",Director,Full-time,Other,Information Technology and ServicesComputer SoftwareManagement Consulting,Information Technology
"Director, Digital Marketing Technology",Panera Bread,"Needham, MA",2 weeks ago,"Director, Digital Marketing Technology

At Panera we believe that good food can bring out the best in all of us—food served in a warm, welcoming environment, by people who care, through a frictionless customer experience.",Director,Full-time,Design,RestaurantsFood & Beverages,Food & Beverages
Director (IT Applications),Atlanta Public Schools,"Atlanta, GA",3 days ago,"Position Summary

The Director (IT Applications) oversees all aspects of the District’s business technology applications and related data management functions through strategic and operational leadership. The director is responsible for software portfolio management and collaborating across other information technology (IT) departments. The incumbent manages all operational activities of the department, providing direction and support for IT solutions that enhance district support of schools and student learning. The director works closely with decision makers in other divisions to sustain the systemic plan of cost-effective technology solutions for all aspects of the organization.",Director,Full-time,Information Technology,Nonprofit Organization ManagementHigher EducationEducation Management,Nonprofit Organization Management
"Director, Curriculum Development- School Technology",National Education Partners,"Myrtle Point, OR",2 weeks ago,"The Professor/Director of Curriculum Development for the School of Technology oversees activities related to the creation, maintenance, and delivery of University curricula. This position is responsible for the oversight of effective curricula that result in student achievement. The Professor/Director promotes academic growth and development by supervising the development and design of innovative, student-centered courses. This position also includes responsibilities associated with a Faculty appointment such as teaching and academic administration.

The Professor/Director of Curriculum Development collaborates with the Dean, Core Faculty, Content Experts, and Administrators to identify and execute innovative technologies and methodologies throughout the School curriculum to support the mission and vision of Northcentral University. The Professor/Director of Curriculum Development participates in the University’s overall curriculum planning, development, and evaluation.

















This position operates in a remote, home office environment. This role routinely uses standard office equipment such as computers, printers, and phones.




Northcentral University was founded in 1996 to provide working professionals around the world with unprecedented access to richly engaging, professionally-relevant, and academically-rigorous education from a U.S. university. As a regionally accredited, private, online and graduate-focused university, NCU offers doctoral, master’s and bachelor’s degrees in business and technology management, education, and psychology, as well as doctoral and master’s degrees in marriage and family therapy. NCU utilizes a one-to-one learning model—one student is paired with a professor in each course—to create a more personalized, individual experience for students enhanced by their professors’ real-world experience. NCU professors all hold doctoral degrees, and none of our programs have residency requirements, allowing access to students no matter where they live.

Additionally, with the exception of the Department of Marriage and Family Sciences, within the School of Social and Behavioral Sciences, all of NCU’s programs are delivered 100% online.

With administrative offices in Scottsdale, Arizona and San Diego, California, as well as students, alumni and faculty in more than 50 countries, NCU is an excellent choice for professionals around the world who share our passion for excellence. We envision growth trends to continue, and eagerly seek highly-credentialed and enthusiastic individuals to join our team.",Director,Full-time,Education,Education ManagementHigher EducationManagement Consulting,Education
VP of Deposits and Payments,Ascend Federal Credit Union,"Tullahoma, TN",6 days ago,"Responsible for leading and developing teams that will deliver excellent member experiences in the areas of payment and digital banking, retail deposits, commercial deposits, and investment services. Establish, implement, and administer functional policies and procedures in these areas. Serve as the primary role for managing vendor relationships with third parties that provide systems that support the functional areas noted. Responsible to work closely with information technology department in optimizing solutions that are relative to the areas of supervision and work with the business applications group toward innovation that improves the member experience. Train, direct and supervise department managers.",Executive,Full-time,Administrative,Financial Services,Financial Services
Information Operations Social Media Task Lead,Calhoun International,"Fort Belvoir, VA",1 week ago,"About Us

Calhoun International is an information technology and management consulting company providing innovative solutions to our clients. Our expertise ranges from strategic intelligence analysis and network modeling, expert instruction on intelligence analysis and sensors, and cyberspace operations to information systems training and services as well as knowledge management. Calhoun International is located in Tampa, FL with employees in Florida, Virginia, Maryland, Washington, D.C. and overseas. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identification, or national origin.



Manage and support the IO Social Media in support of the 1st Information Operations Command.Serves as the task lead on the contract working with the PM and Government lead to manage and appropriately task work. IO Social Media is responsible for coutering hostile and adversary activities in the Information Environment through online passive monitoring and active engagement while providing a capability to provide early warning of adversary activity against U.S. Policy Objectives.",Director,Contract,Marketing,Information Technology and ServicesDefense & SpaceManagement Consulting,Information Technology
"SVP, Enterprise Risk Management",PenFed Credit Union,"McLean, VA",1 week ago,"Overview

Are you looking to take your career from good to great? As an employee of PenFed, every day is an opportunity to thrive, and be part of a team working to ensure our organization is providing world class service to our members, employees, and our communities. We exist to help our members realize their full potential, educate and encourage their dreams, and make every effort to follow our mission and help our members “do better.” Joining PenFed is more than being an employee; it’s about being a part of the PenFed family.

PenFed Credit Union is hiring an SVP, Enterprise Risk Management in McLean, Virginia. The primary purpose of this job is to lead PenFed’s Risk Office in the development, implementation, and administration of and be accountable for key Enterprise Risk Management functions, policies, processes, and activities. The role will monitor and report on PenFed’s strategic, financial, and operational risks and provide risk advisory and reporting across the organization and to all levels of management.



Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. This is not intended to be an all-inclusive list of job duties and the position will perform other duties as assigned.

*This role is responsible for ensuring business continuity.*



Equivalent combination of education and experience is considered.



PenFed is continuing to hire and train exceptional individuals to help us serve our 2 million members both here and around the world. In light of the current situation with novel coronavirus (COVID-19), we have modified our hiring, onboarding, training, and deployment protocols in order to comply with current local and state guidance around social distancing.",Executive,Full-time,Finance,BankingFinancial ServicesReal Estate,Banking
Vice President - Information Security,Aramark,"Philadelphia, PA",1 month ago,"Overview

Aramark (NYSE: ARMK) proudly serves the world’s leading educational institutions, Fortune 500 companies, world champion sports teams, prominent healthcare providers, iconic destinations and cultural attractions, and numerous municipalities in 19 countries around the world. Our 280,000 team members deliver innovative experiences and services in food, facilities management and uniforms to millions of people every day. We strive to create a better world by making a positive impact on people and the planet, including commitments to engage our employees; empower healthy consumers; build local communities; source ethically, inclusively and responsibly; operate efficiently; and reduce waste. Aramark is recognized as a Best Place to Work by the Human Rights Campaign (LGBTQ), DiversityInc, Black Enterprise and the Disability Equality Index. Learn more at www.aramark.com or connect with us on Facebook and Twitter.



The chief information security officer (CISO) is responsible for mitigating information security risks for Aramark. This includes establishing, executing, and maintaining the enterprise vision, strategy, and program to ensure information assets and technologies are adequately protected.



Prior experience leading information security architecture, governance/risk/compliance (GRC), and cyber-defense teams in a global Fortune 500 retail or hospitality environment is strongly preferred, including experience with point-of-sale/payment technologies and eCommerce platforms.

The role will report into the Chief Information Officer with daily coordination with VP Operations/CTO

Consistently drives high standards for self, the team, and the function to accomplish key goals.













Holds certifications (like CISSP, CSX-P, CRISC and CISM)

Programing and scripting experience a plus.",Executive,Full-time,Information Technology,Marketing and AdvertisingEvents ServicesHospitality,Marketing and Advertising
"Director, International IT","CKE Restaurants, Inc.","Franklin, TN",2 weeks ago,"The Director, IT International is a critical member of both the International and Corporate IT Leadership teams. The incumbent will collaborate with the VP Restaurant Technology to help define and lead all IT strategy and direction outside the U.S. and partner with in-country Franchisee resources to ensure effective execution in support of ongoing business operations. The Director, IT International will act as the primary technology liaison for our International Franchisees and their vendor partners. This role guides the selection, implementation and maintenance of International restaurant technologies inclusive of POS Hardware, POS Software, Inventory and Labor Management Systems as part of an all-inclusive restaurant technology landscape.

Key Responsibilities

Experiences and Competencies",Director,Internship,Information Technology,Information Technology and ServicesConsumer GoodsFinancial Services,Information Technology
IT Director,Berkshire Hathaway Specialty Insurance,Greater Boston,3 months ago,"Who are we?
A strong, trusted insurance partner, Berkshire Hathaway Specialty Insurance (BHSI) provides a broad range of commercial property, casualty and specialty insurance coverages and outstanding service to customers around the globe. Part of Berkshire Hathaway’s insurance operations, we bring our solutions to market with our stellar brand name, top-rated balance sheet, and the expertise of our global team of professionals with excellent capabilities and character. Want to be part of the team building the finest property, casualty and specialty lines insurance company in the world?



Berkshire Hathaway Specialty Insurance (BHSI) has an exciting opportunity for an IT Director to join its Information Technology team in Boston, MA. The IT Director is a senior level position who is responsible for planning, facilitating, coordinating and supporting the execution of system initiatives at the Program level. The role will engage with multiple systems teams to coordinate project objectives, scope, timelines, deliverables and dependencies. The role will drive the execution of these projects with a focus on delivery, status tracking, issue identification and risk management. Communication to senior leadership and across all teams is essential. The execution of timely system/ business initiatives with quality is at the core of the IT Director’s responsibilities.









NOTE: This job description is not intended to be all-inclusive. Team Member may perform other related duties as negotiated to meet the ongoing needs of the organization",Director,Full-time,Information Technology,Information Technology and ServicesComputer SoftwareInsurance,Information Technology
Director Regional IT Sourcing,Ahold Delhaize,"Quincy, MA",3 weeks ago,"Ahold Delhaize is one fo the world's largest food retail groups and a leader in both supermarkets and e-Commerce. Its family of great, local brands serves more than 50 million customers each week in Europe, the United States and Indonesia. Together, these brands employ more than 372,000 associates in more than 6,700 grocery and specialty stores. Our Global Suppport Office (GSO) is based in Zaandam in the Netherlands, but GSO associates also work in all the countries we serve. This team supports all our great local brands in finance, HR, IT, legal, communications, sutainable retailing and other key functions.

The Regional IT Sourcing Director provides leadership in developing and sustaining the strategic plan for IT sourcing and creating sustainable competitive advantage for AD in the respective OpCo/Region while ensuring that the services/products meet the quality and strategic needs of all company stakeholders. He/she must be proficient in internal stakeholders partnering within the respective region/OpCo, to identify the IT requirements necessary to effectively meet the needs. Responsible for the oversight and issuance of statements of work and Rfx’s, conducting bidding or negotiations, and recommending an award based on our strategy, requirements and price as well as line-managing a team of Global/Regional IT Category Managers situated in the region. Responsible for the strategic sourcing and management of between €300-600 million in IT spend (both Capex and Opex). Whilst focussing primarily on the continental/regional requirement, the role will be responsible for promoting a “better together” approach underpinning the new global IT sourcing function and management responsibility for locally based global category managers as well as their local equivalents.",Director,Full-time,Information Technology,Information Technology and ServicesComputer SoftwareFinancial Services,Information Technology
Chief Technology Officer,Recruiting Source International,"Houston, TX",1 week ago,"Job Description

Chief Technology Officer

Houston, TX



This position serves as the Client Company Department Chief Technology Officer responsible for managing the Department technology strategy, management of federated IT department staff, and daily technology operations.



: Develop and execute Department’s technology 3-year strategic plan and annual operating plans. Lead the department Technology Steering Committee to ensure alignment between business unit objectives and technology strategy, operational plans, and performance objectives. Align with the Company IT strategy for the area and advocate for Department priorities through active participation in the Company governance and planning processes. Manage Department-specific Information Technology systems and applications. Align to citywide enterprise architecture standards, develop and maintain architectural blueprints, and alignment of the architecture with Department's separate and company shared operating models, strategic goals, and objectives. Make recommendations on the technology investments toward migrating to enterprise architecture compliant solutions and shared enterprise solutions where feasible. Define and design technology solutions to assist the business in meeting their business objectives within the agreed upon enterprise architecture.

: Leads department technology organization. Accomplishes business results by aligning staff performance plans to operational plan objectives. Communicates job expectations; plans, monitors, and evaluates job results; coaches, mentors, appraises, and disciplines team members; develops, coordinates and enforces systems, policies, procedures, and productivity standards. Maintains high performing staff by recruiting, selecting, orienting, and training team members; maintaining a safe, secure, and discrimination-free work environment; develops personal growth opportunities. Prepares workforce development plans to ensure future skillset and resource requirements are proactively addressed.

: Ensures that technology operational performance meets or exceeds business objectives. Facilitates procurement of goods and services necessary to run the business and implement projects, including contract negotiation for Department-specific systems.Sponsors technology projects; reviews and approves project scope, schedule, budget, and quality metrics. Monitors key performance indicators (KPl's) for technology operations and support activities to ensure quality of service and to meet service level agreements. Accomplishes financial objectives by forecasting requirements; preparing an annual budget; scheduling expenditures; analyzing variances; initiating corrective actions. Safeguards assets by reviewing and approving disaster recovery and back-up procedures and compliance with information security and control structures.

: Establishes service level agreements (SLA) and metrics. Functions as business partner; builds business relationships with stakeholder representatives and frequently interacts with to discuss technology applications services and assess customer satisfaction.



The Department vision is to promote self-sufficient families and individuals in safe and healthy communities, and the department mission is to work in partnership with the community to promote and protect the health and social well-being of all customers.







.Improve the Department technology organization's reputation as a valued partner by building strong relationships with line business divisions. Focus on the business needs and assist in the evaluation of requirements and problem resolution. Enable the business to function by ensuring service levels and infrastructure roadmaps that accommodate future business need s. Develop a reputation as a good listener, problem solver, and ally to the business.

Develops plans for platform evolution, including IaaS & PaaS options, asset refresh & upgrade, operational performance and maintenance. Identifies changes and trends in health-related technologies, data protection requirements, service delivery strategies, and interprets their meaning and business value to stakeholders. Drives innovation and strategic solutions.

. Provides clear organizational design strategy to best align team skillsets / capabilities with business needs. Identifies appropriate balance between insourced and outsourced services (including shared services provided by other City departments).

















Must have experience in the Healthcare Industry",Executive,Full-time,Information Technology,Information Technology and ServicesFinancial ServicesHospital & Health Care,Information Technology
"Director, IT",ICON Government and Public Health Solutions,"Gaithersburg, MD",5 days ago,"Reasonable Accommodation Statement:
To accomplish this job successfully, an individual must be able to perform, with or without reasonable accommodation, each essential function satisfactorily. Reasonable accommodations may be made to help enable qualified individuals with disabilities to perform the essential functions.",Director,Full-time,Research,ResearchPharmaceuticalsGovernment Administration,Government Administration
Finance and Administration Director,Bohemian Foundation,"Fort Collins, CO",1 week ago,"Finance and Administration Director

About Bohemian Foundation:
Bohemian Foundation is a private family foundation based in Fort Collins, Colorado that works at involving our fellow citizens in the care and improvement of our community. The Foundation is home to a team of professionals who are passionate about making a difference. Bohemian Foundation is committed to the care and enrichment of our local, national, and global communities.",Director,Full-time,Finance,Philanthropy,Philanthropy
